x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.096467763,0.309372306,0.139056474,0.21853143,0.15129444,0.118714809,0.149219662,0.043546319,0.119811684,0,0.107803166,0.078471959,0.10382095,0.001682043,0.1261262,0.066699088,0.124783993,0.104486525,0.073994786,0.095381021,0.076781541,0.023302495,0.104348838,0.104367673,0.095896274,0.134550869,0.039590061,0.119736731,0.041755825,0.046950579,0.072481453,0.124949217,0.066336274,0.159724355,0,0.151695073,0.008060127,0.084997714,0.035890847,0.13102746,0.034693241,0.164284647,0
0.097009748,0.310937345,0.140447855,0.222265422,0.154812634,0.118788481,0.152708709,0.042002976,0.121718764,0,0.110239476,0.080336809,0.109342575,0.007310092,0.132378697,0.073944271,0.130176038,0.108323455,0.07577315,0.096506774,0.080480367,0.030259728,0.107263088,0.113829315,0.096373737,0.14175272,0.040627599,0.120467067,0.044296712,0.052548826,0.074050993,0.133187234,0.066210806,0.166083574,0,0.151632786,0.00922066,0.089459956,0.035514504,0.136422217,0.032581002,0.167451441,0
0.097500384,0.295487881,0.139139771,0.223552823,0.152314305,0.119880617,0.155693948,0.045593917,0.12838167,0.006433904,0.103861958,0.072739244,0.107540369,0,0.128721714,0.068959713,0.122877598,0.101011336,0.072201073,0.087515295,0.0821504,0.018192291,0.107219934,0.10538286,0.092061698,0.131887734,0.038920611,0.110515118,0.04808709,0.042132914,0.075395823,0.124642372,0.06254822,0.153252721,0,0.140059471,0.017709374,0.079164505,0.040377349,0.129681647,0.030210674,0.158452928,0
0.005245835,0.234092295,0.073860675,0.224996865,0.146306425,0.164393395,0.178916544,0.092802107,0.189387292,0.021991044,0.131260008,0.068942517,0.147557676,0.012923211,0.128666699,0.063335091,0.114667863,0.116257876,0.089467302,0.05621317,0.10536468,0,0.086589545,0.075520098,0.076750055,0.139461339,0.046388179,0.051003963,0.059112012,0.003174961,0.048022106,0.087172389,0.043859392,0.148427486,0,0.053887904,0.017509922,0.021993488,0.016277,0.084696263,0.017612278,0.130941987,0
0.005245835,0.234092295,0.073860675,0.224996865,0.146306425,0.164393395,0.178916544,0.092802107,0.189387292,0.021991044,0.131260008,0.068942517,0.147557676,0.012923211,0.128666699,0.063335091,0.114667863,0.116257876,0.089467302,0.05621317,0.10536468,0,0.086589545,0.075520098,0.076750055,0.139461339,0.046388179,0.051003963,0.059112012,0.003174961,0.048022106,0.087172389,0.043859392,0.148427486,0,0.053887904,0.017509922,0.021993488,0.016277,0.084696263,0.017612278,0.130941987,0
0.006417975,0.233189315,0.074921116,0.224311739,0.145922974,0.161778152,0.177787945,0.089282364,0.188003466,0.019184411,0.131619141,0.068111539,0.14708735,0.013192445,0.128663734,0.064017713,0.114890143,0.117010683,0.089722544,0.055300266,0.104203045,0,0.086205021,0.075630277,0.076748505,0.139446646,0.046448186,0.049957365,0.058245823,0.003267974,0.047442213,0.087733269,0.04339394,0.148672372,0,0.052884728,0.016567275,0.021304041,0.014961362,0.084964156,0.016077399,0.1314964,0
0.00342232,0.23606661,0.073201701,0.226176828,0.144874752,0.163564801,0.177621156,0.090809822,0.187279493,0.018821895,0.130593717,0.070258886,0.145824581,0.012177229,0.127086312,0.06445387,0.114081502,0.117440671,0.089154273,0.056958348,0.102050334,0,0.084920868,0.075310618,0.077412412,0.137512833,0.045904979,0.051373243,0.05650501,0.003660202,0.046446338,0.088356674,0.043844119,0.147947907,0,0.054832935,0.014054418,0.024749994,0.013502628,0.088020384,0.016338542,0.132858098,0
0.00342232,0.23606661,0.073201701,0.226176828,0.144874752,0.163564801,0.177621156,0.090809822,0.187279493,0.018821895,0.130593717,0.070258886,0.145824581,0.012177229,0.127086312,0.06445387,0.114081502,0.117440671,0.089154273,0.056958348,0.102050334,0,0.084920868,0.075310618,0.077412412,0.137512833,0.045904979,0.051373243,0.05650501,0.003660202,0.046446338,0.088356674,0.043844119,0.147947907,0,0.054832935,0.014054418,0.024749994,0.013502628,0.088020384,0.016338542,0.132858098,0
0.002087802,0.239420593,0.073992997,0.225842953,0.145877242,0.164886832,0.179522097,0.093020856,0.188773274,0.021538496,0.131294399,0.070602983,0.147124738,0.011441022,0.129267991,0.065330774,0.116251379,0.119503945,0.08962518,0.056858152,0.103533238,0,0.087060839,0.076372385,0.079648241,0.138759315,0.046214029,0.051488012,0.057914376,0.003348768,0.048528925,0.08683604,0.045746639,0.146109998,0,0.055387437,0.015536636,0.023809254,0.015185028,0.086855561,0.017128944,0.132218361,0
0.002087802,0.239420593,0.073992997,0.225842953,0.145877242,0.164886832,0.179522097,0.093020856,0.188773274,0.021538496,0.131294399,0.070602983,0.147124738,0.011441022,0.129267991,0.065330774,0.116251379,0.119503945,0.08962518,0.056858152,0.103533238,0,0.087060839,0.076372385,0.079648241,0.138759315,0.046214029,0.051488012,0.057914376,0.003348768,0.048528925,0.08683604,0.045746639,0.146109998,0,0.055387437,0.015536636,0.023809254,0.015185028,0.086855561,0.017128944,0.132218361,0
0.0025139,0.232878298,0.07257311,0.223596841,0.145847678,0.164782375,0.17941168,0.093874782,0.188592523,0.022811681,0.13230738,0.06955418,0.14724347,0.01322788,0.126962513,0.065019339,0.112638324,0.11873427,0.090270668,0.056249559,0.104702845,0,0.085409343,0.075338066,0.076429784,0.138134211,0.046840161,0.051293343,0.058448449,0.003301322,0.046981588,0.085672349,0.043396026,0.144933552,0,0.055150419,0.016755283,0.022094369,0.014639854,0.085907638,0.015862375,0.132530928,0
0.0025139,0.232878298,0.07257311,0.223596841,0.145847678,0.164782375,0.17941168,0.093874782,0.188592523,0.022811681,0.13230738,0.06955418,0.14724347,0.01322788,0.126962513,0.065019339,0.112638324,0.11873427,0.090270668,0.056249559,0.104702845,0,0.085409343,0.075338066,0.076429784,0.138134211,0.046840161,0.051293343,0.058448449,0.003301322,0.046981588,0.085672349,0.043396026,0.144933552,0,0.055150419,0.016755283,0.022094369,0.014639854,0.085907638,0.015862375,0.132530928,0
0.002123609,0.235131204,0.072505429,0.22409451,0.144288942,0.164757133,0.178072557,0.094603658,0.186953053,0.023731917,0.131204411,0.069504708,0.147124484,0.013473034,0.126809344,0.065723956,0.111586332,0.119837731,0.089723349,0.055501908,0.102903381,0,0.083762407,0.075109482,0.073845923,0.138668239,0.046307802,0.049970239,0.056956276,0.001873463,0.044792637,0.083887279,0.0395917,0.144034177,0,0.053186715,0.014278561,0.019172817,0.011641517,0.080338746,0.011530116,0.126191318,0
